Ms. ESTY of Connecticut-E000293,7.0,1.1370788224421356e-07,0.39497911099996746,2.6096426610594805e-23,9.064933036736042e-17,4357220394230130.0,4357220394230130.0,9.863853345286384e-93,9.863853345286384e-93
Ms. KLOBUCHAR-K000367,43.0,-2.0372681319713593e-10,0.3782703030000005,5.297530101171991e-10,1.931880210584638e-16,-0.3845694301049176,1958042227087806.2,0.7025440365231091,0.0
Mr. BERA-B001287,1.0,1.251164942725518e-07,0.4346084079999641,inf,inf,0.0,0.0,nan,nan
Mr. VISCLOSKY-V000108,12.0,-3.4924596548080444e-10,0.4158237000000002,1.6361760801773164e-10,5.768888059150692e-17,-2.1345255545048416,7208038979720099.0,0.058572941812732586,6.500238902944364e-155
Mr. DANNY K. DAVIS of Illinois-D000096,10.0,-1.1641532182693481e-10,0.2879954859999999,4.174788047689087e-10,1.7826341206873996e-16,-0.27885325074496986,1615561391189720.2,0.7874301155663024,2.4134054888287605e-119
Mr. CARSON of Indiana-C001072,2.0,6.965781905383701e-08,0.24196548999998002,1.598073232648647e-23,5.5511151231253236e-17,4358862762402078.0,4358862762402078.5,1.4605180458050334e-16,1.4605180458050332e-16
Mr. HOYER-H000874,40.0,8.731149137020111e-11,0.4058060389999999,1.624300780112155e-10,5.433126041581365e-17,0.5375327798843538,7469107764006263.0,0.5940338009095615,0.0
Ms. HEITKAMP-H001069,10.0,-5.820766091346741e-11,0.5826561629999999,2.9753574355907485e-10,1.1806804969751241e-16,-0.19563249852672052,4934918163658597.0,0.8497754450408479,3.184039023558705e-123
Ms. PLASKETT-P000610,17.0,-2.9103830456733704e-11,0.3254337260000002,4.655629286040462e-11,7.121819993391075e-17,-0.6251320427079374,4569530349011868.0,0.5412785135365047,1.6954011589028382e-227
Ms. BARRAGAN-B001300,5.0,5.2904681845788064e-08,0.18377128999998482,7.99036616324324e-24,2.7755575615626618e-17,6621058505323163.0,6621058505323164.0,3.1220621820958205e-63,3.1220621820958205e-63
Mr. KRISHNAMOORTHI-K000391,7.0,1.1641532182693481e-10,0.37071376899999997,0.0,0.0,inf,inf,0.0,0.0
Mr. DEUTCH-D000610,9.0,0.0,0.29392602900000003,2.31906161210446e-10,7.709000935711847e-17,0.0,3812764214859431.5,1.0,2.2547352732516682e-107
Mr. CLYBURN-C000537,10.0,0.0,0.35052857200000004,2.2724667780240498e-10,7.459086818853015e-17,0.0,4699349672590363.0,1.0,4.7088616475761954e-123
Mrs. DAVIS of California-D000598,5.0,-6.402842700481415e-10,0.2966541500000003,5.56638406358545e-10,2.0269806481627062e-16,-1.1502696593230006,1463527292521974.8,0.33340622154205757,7.035067499024143e-46
Ms. WASSERMAN SCHULTZ-W000797,10.0,0.0,0.24992995699999998,1.1362333890120257e-10,3.729543409426509e-17,0.0,6701355355411499.0,1.0,2.7537013548900413e-124
Mr. KAINE-K000384,32.0,0.0,0.29197122900000017,1.5967443560016892e-10,6.500800384324994e-17,0.0,4491312019117116.5,1.0,0.0
Mr. FRANKEN-F000457,21.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
Mr. RASKIN-R000606,44.0,1.4551915228366852e-11,0.128297227,2.9734658317440256e-12,2.0526425050122306e-18,4.893923808713055,6.2503444553407784e+16,1.5011665793798825e-05,0.0
Mr. PALLONE-P000034,9.0,-1.1641532182693481e-10,0.190071165,1.0932161279389802e-10,4.450793765416311e-17,-1.064888441102771,4270500387524054.0,0.32227373681060434,1.0195859495840613e-107
Mrs. NAPOLITANO-N000179,7.0,0.0,0.21008981499999996,8.712769208534006e-11,5.278426520166973e-17,0.0,3980159886612463.0,1.0,1.900208557655981e-77
Mr. JOHNSON of Georgia-J000288,38.0,-8.731149137020111e-11,0.2955521300000003,2.4850263352142233e-10,9.915555971646878e-17,-0.351350366525087,2980691459411044.5,0.7273736099134939,0.0
Ms. ESTY-E000293,5.0,1.1370788224421349e-07,0.3949791109999674,2.3971098489729722e-23,8.326672684687985e-17,4743540738983279.0,4743540738983281.0,1.1850610146742484e-62,1.1850610146742484e-62
Mr. SCHRADER-S001180,9.0,-5.820766091346741e-10,0.4977455880000001,3.7870117544880634e-10,1.5418001871423694e-16,-1.5370340703190146,3228340430562150.5,0.16816842314870545,7.226365530430478e-107
Ms. CANTWELL-C000127,29.0,-2.3283064365386963e-10,0.3446235710000001,3.845909193787728e-11,1.2163274056882585e-17,-6.053981826454963,2.8333125553887764e+16,1.8353515147794138e-06,0.0
Mr. DONNELLY-D000607,15.0,-6.984919309616089e-10,0.7079104120000004,4.2879464376424695e-10,1.3522482183022948e-16,-1.628966082294728,5235062634349481.0,0.12730024574323232,1.7032251836551995e-198
Mrs. BEATTY-B001281,6.0,-2.3283064365386963e-10,0.3660414700000001,1.6699152190756352e-10,6.798699777552596e-17,-1.394266253724849,5383992262881891.0,0.23569282331209218,7.140580867792449e-63
Mrs. McCASKILL-M001170,19.0,1.4309353788398856e-07,0.4970540059999591,1.8833473660642787e-23,6.54205191118186e-17,7597830355799843.0,7597830355799842.0,5.167909683303011e-276,5.167909683303011e-276
Mr. CONYERS-C000714,21.0,-1.0186340659856796e-10,0.4970540059999998,6.028017137495381e-10,1.9677193489208968e-16,-0.1689832730649665,2526041156593727.5,0.8675958344304926,5.7364429215409405e-282
Mr. RUIZ-R000599,5.0,1.1212874860015827e-07,0.3894937849999678,1.598073232648648e-23,5.5511151231253236e-17,7016496259956497.0,7016496259956496.0,2.475540627489674e-63,2.475540627489674e-63
